id,sex,mouth,face,eyebrow,eyes,nose,hair,body,dress,color_hair,color_eyebrow,eyeslid,color_face,check,comment
31779,1,90441.0,55020.0,130660.0,120780.0,60120.0,25604.0,40020.0,30820.0,9.0,4.0,110120.0,3.0,False,model:pn05pc10e
31778,0,90140.0,50160.0,130560.0,120260.0,60080.0,20690.0,40020.0,32340.0,7.0,7.0,110200.0,2.0,True,model:pn05pc10e
31777,1,90562.0,55020.0,130540.0,120780.0,60040.0,26010.0,40020.0,30423.0,10.0,0.0,110180.0,0.0,False,model:pn05pc10e
31776,1,90220.0,55080.0,130401.0,120602.0,60080.0,26010.0,40020.0,31450.0,15.0,3.0,110140.0,0.0,False,model:pn05pc10e
31775,1,90240.0,55180.0,130020.0,120140.0,60080.0,25260.0,40020.0,30840.0,1.0,5.0,110120.0,1.0,False,model:pn05pc10e
31774,1,90564.0,55060.0,130640.0,120421.0,60100.0,25421.0,40020.0,30180.0,12.0,7.0,110120.0,2.0,False,model:pn05pc10e
31773,1,90562.0,55120.0,130121.0,120481.0,60080.0,25860.0,40020.0,30340.0,4.0,4.0,110120.0,2.0,True,model:pn05pc10e
31772,1,90442.0,55080.0,130361.0,120021.0,60040.0,25345.0,40020.0,30423.0,9.0,4.0,110200.0,1.0,True,model:pn05pc10e
31771,1,90656.0,55180.0,130140.0,120780.0,60180.0,25740.0,40020.0,31920.0,11.0,7.0,110080.0,0.0,False,model:pn05pc10e
31770,1,90060.0,55060.0,130381.0,120440.0,60100.0,25040.0,40020.0,30860.0,12.0,8.0,110080.0,5.0,False,model:pn05pc10e
31769,1,90460.0,55120.0,130440.0,120040.0,60080.0,25541.0,40020.0,30242.0,7.0,8.0,110200.0,1.0,True,model:pn05pc10e
31768,1,90140.0,55080.0,130180.0,120340.0,60155.0,25602.0,40020.0,32320.0,8.0,3.0,110045.0,1.0,True,model:pn05pc10e
31767,1,90020.0,55120.0,130020.0,120510.0,60140.0,25703.0,40020.0,30560.0,10.0,5.0,110040.0,1.0,False,model:pn05pc10e
31766,1,90560.0,55060.0,130680.0,120600.0,60100.0,25348.0,40020.0,31320.0,12.0,3.0,110120.0,5.0,True,model:pn05pc10e
31765,0,90443.0,50180.0,130240.0,120421.0,60180.0,20485.0,40020.0,30620.0,12.0,9.0,110120.0,5.0,False,model:pn05pc10e
31764,1,90320.0,55040.0,130340.0,120421.0,60155.0,26105.0,40020.0,30560.0,1.0,3.0,110045.0,0.0,True,model:pn05pc10e
31763,0,90120.0,50120.0,130420.0,120021.0,60080.0,20520.0,40020.0,32360.0,9.0,4.0,110080.0,0.0,True,model:pn05pc10e
31762,1,90040.0,55050.0,130760.0,120580.0,60160.0,26105.0,40020.0,30960.0,12.0,9.0,110080.0,0.0,True,model:pn05pc10e
31761,1,90160.0,55020.0,130140.0,120780.0,60020.0,25683.0,40020.0,30561.0,12.0,9.0,110020.0,4.0,True,model:pn05pc10e
31760,1,90200.0,55060.0,130200.0,120540.0,60145.0,25260.0,40020.0,32360.0,14.0,4.0,110200.0,0.0,False,model:pn05pc10e
31759,1,90120.0,55140.0,130080.0,120100.0,60180.0,25345.0,40020.0,30101.0,2.0,6.0,110045.0,3.0,False,model:pn05pc10e
31758,1,90561.0,55160.0,130121.0,120510.0,60140.0,25684.0,40020.0,30501.0,9.0,5.0,110120.0,2.0,False,model:pn05pc10e
31757,1,90562.0,55180.0,130500.0,120780.0,60140.0,25700.0,40020.0,31445.0,10.0,6.0,110200.0,0.0,False,model:pn05pc10e
31756,0,90280.0,50119.0,130781.0,120510.0,60200.0,20690.0,40020.0,32300.0,9.0,7.0,110045.0,2.0,True,model:pn05pc10e
31755,1,90460.0,55030.0,130100.0,120601.0,60180.0,25641.0,40020.0,30783.0,8.0,3.0,110120.0,2.0,False,model:pn05pc10e
31754,1,90490.0,55030.0,130361.0,120510.0,60060.0,25684.0,40020.0,30422.0,9.0,5.0,110140.0,0.0,False,model:pn05pc10e
31753,1,90120.0,55050.0,130280.0,120460.0,60160.0,26105.0,40020.0,31440.0,7.0,6.0,110100.0,4.0,True,model:pn05pc10e
31752,0,90656.0,50060.0,130280.0,120510.0,60120.0,20542.0,40020.0,30505.0,9.0,2.0,110045.0,1.0,True,model:pn05pc10e
31751,1,90656.0,55119.0,130580.0,120601.0,60040.0,26105.0,40020.0,30860.0,8.0,3.0,110200.0,2.0,False,model:pn05pc10e
31750,0,90561.0,50060.0,130280.0,120165.0,60160.0,20581.0,40020.0,30579.0,14.0,2.0,110120.0,2.0,True,model:pn05pc10e
31749,1,90280.0,55050.0,130340.0,120161.0,60060.0,25040.0,40020.0,31761.0,9.0,5.0,110140.0,3.0,False,model:pn05pc10e
31748,0,90561.0,50060.0,130100.0,120421.0,60180.0,20690.0,40020.0,30961.0,9.0,7.0,110180.0,2.0,False,model:pn05pc10e
31747,1,90362.0,55020.0,130440.0,120240.0,60020.0,26105.0,40020.0,32340.0,4.0,9.0,110120.0,1.0,False,model:pn05pc10e
31746,1,90600.0,55140.0,130340.0,120360.0,60145.0,25220.0,40020.0,30960.0,7.0,5.0,110045.0,1.0,False,model:pn05pc10e
31745,1,90180.0,55120.0,130280.0,120510.0,60040.0,25260.0,40020.0,31761.0,7.0,4.0,110100.0,1.0,True,model:pn05pc10e
31744,1,90564.0,55070.0,130540.0,120602.0,60020.0,26105.0,40020.0,30101.0,6.0,6.0,110140.0,1.0,False,model:pn05pc10e
31743,0,90656.0,50180.0,130180.0,120421.0,60180.0,20820.0,40020.0,30100.0,12.0,9.0,110120.0,2.0,False,model:pn05pc10e
31742,0,90020.0,50100.0,130830.0,120380.0,60040.0,20805.0,40020.0,30120.0,15.0,7.0,110020.0,0.0,False,model:pn05pc10e
31741,1,90300.0,55180.0,130560.0,120300.0,60160.0,25901.0,40020.0,30360.0,9.0,0.0,110020.0,0.0,False,model:pn05pc10e
31740,1,90160.0,55080.0,130520.0,120140.0,60180.0,26010.0,40020.0,30520.0,5.0,1.0,110080.0,0.0,False,model:pn05pc10e
31739,1,90442.0,55040.0,130100.0,120600.0,60040.0,25640.0,40020.0,31900.0,8.0,4.0,110045.0,0.0,True,model:pn05pc10e
31738,1,90340.0,55020.0,130601.0,120160.0,60145.0,26080.0,40020.0,31761.0,13.0,8.0,110200.0,2.0,True,model:pn05pc10e
31737,1,90560.0,55080.0,130400.0,120060.0,60020.0,26105.0,40020.0,30620.0,11.0,5.0,110200.0,0.0,False,model:pn05pc10e
31736,1,90140.0,55119.0,130440.0,120510.0,60080.0,26050.0,40020.0,30640.0,14.0,10.0,110100.0,1.0,False,model:pn05pc10e
31735,1,90020.0,55040.0,130830.0,120200.0,60040.0,26105.0,40020.0,30581.0,5.0,3.0,110140.0,0.0,False,model:pn05pc10e
31734,1,90140.0,55180.0,130700.0,120510.0,60160.0,25344.0,40020.0,30503.0,9.0,8.0,110080.0,1.0,True,model:pn05pc10e
31733,1,90200.0,55120.0,130120.0,120181.0,60155.0,25347.0,40020.0,30620.0,1.0,1.0,110045.0,5.0,False,model:pn05pc10e
31732,1,90440.0,55160.0,130500.0,120060.0,60120.0,25860.0,40020.0,30860.0,7.0,2.0,110040.0,2.0,False,model:pn05pc10e
31731,1,90080.0,55020.0,130300.0,120600.0,60080.0,25344.0,40020.0,30101.0,3.0,0.0,110120.0,3.0,False,model:pn05pc10e
31730,1,90600.0,55119.0,130441.0,120021.0,60140.0,25642.0,40020.0,30560.0,6.0,6.0,110040.0,1.0,False,model:pn05pc10e
31729,1,90460.0,55050.0,130280.0,120300.0,60160.0,25345.0,40020.0,30961.0,9.0,1.0,110140.0,5.0,False,model:pn05pc10e
31728,1,90560.0,55120.0,130580.0,120510.0,60040.0,26105.0,40020.0,30380.0,7.0,4.0,110120.0,3.0,True,model:pn05pc10e
31727,1,90060.0,55050.0,130600.0,120300.0,60040.0,25426.0,40020.0,30400.0,7.0,3.0,110080.0,0.0,False,model:pn05pc10e
31726,1,90020.0,55080.0,130441.0,120780.0,60160.0,25345.0,40020.0,32340.0,10.0,2.0,110040.0,2.0,True,model:pn05pc10e
31725,1,90442.0,55080.0,130220.0,120510.0,60145.0,26105.0,40020.0,31360.0,7.0,3.0,110080.0,1.0,True,model:pn05pc10e
31724,1,91020.0,55060.0,130260.0,120510.0,60145.0,25642.0,40020.0,30579.0,9.0,2.0,110140.0,3.0,True,model:pn05pc10e
31723,1,90442.0,55070.0,130300.0,120510.0,60155.0,25642.0,40020.0,30580.0,11.0,3.0,110020.0,3.0,False,model:pn05pc10e
31722,1,90200.0,55040.0,130400.0,120600.0,60020.0,25120.0,40020.0,30579.0,1.0,7.0,110080.0,3.0,False,model:pn05pc10e
31721,1,90260.0,55060.0,130260.0,120460.0,60020.0,25347.0,40020.0,30560.0,6.0,2.0,110140.0,0.0,True,model:pn05pc10e
31720,1,90562.0,55050.0,130020.0,120602.0,60020.0,26105.0,40020.0,30120.0,11.0,3.0,110080.0,0.0,False,model:pn05pc10e
31719,1,90656.0,55060.0,130620.0,120601.0,60020.0,25347.0,40020.0,30240.0,14.0,5.0,110180.0,5.0,False,model:pn05pc10e
31718,1,90240.0,55050.0,130140.0,120540.0,60145.0,25683.0,40020.0,32265.0,9.0,3.0,110140.0,2.0,True,model:pn05pc10e
31717,1,90440.0,55180.0,130441.0,120021.0,60180.0,25860.0,40020.0,30501.0,12.0,9.0,110080.0,2.0,False,model:pn05pc10e
31716,0,90656.0,50119.0,130680.0,120020.0,60040.0,20841.0,40020.0,30503.0,8.0,2.0,110040.0,2.0,True,model:pn05pc10e
31715,1,90020.0,55050.0,130790.0,120060.0,60100.0,25220.0,40020.0,30960.0,8.0,3.0,110080.0,1.0,True,model:pn05pc10e
31714,1,90240.0,55140.0,130140.0,120780.0,60040.0,25543.0,40020.0,30422.0,12.0,6.0,110045.0,2.0,False,model:pn05pc10e
31713,0,90080.0,50140.0,130340.0,120120.0,60080.0,20730.0,40020.0,30380.0,10.0,5.0,110020.0,2.0,False,model:pn05pc10e
31712,1,90442.0,55040.0,130361.0,120510.0,60140.0,25630.0,40020.0,30579.0,12.0,4.0,110080.0,3.0,False,model:pn05pc10e
31711,1,90460.0,55030.0,130260.0,120060.0,60080.0,25922.0,40020.0,30140.0,10.0,0.0,110140.0,0.0,False,model:pn05pc10e
